,Biotin Condition,Class,score
SLX-21561.i724_i518,LO_Infected,EPCR PE PE-A,9.3195534569495
SLX-21561.i726_i505,HI_Infected,EPCR PE PE-A,10.750921118000695
SLX-21561.i726_i513,HI_Infected,EPCR PE PE-A,8.824824939175638
SLX-21561.i726_i515,HI_Infected,EPCR PE PE-A,8.10076824307173
SLX-21561.i726_i516,LO_Infected,EPCR PE PE-A,8.407601514786142
SLX-21561.i726_i517,HI_Infected,EPCR PE PE-A,9.586170674954657
SLX-21561.i726_i518,HI_Infected,EPCR PE PE-A,8.689127655323706
SLX-21561.i726_i521,HI_Control,EPCR PE PE-A,8.594709633844065
SLX-21561.i727_i511,HI_Infected,EPCR PE PE-A,6.693323668269949
SLX-21561.i727_i513,HI_Infected,EPCR PE PE-A,8.01829613851552
SLX-21561.i727_i515,LO_Infected,EPCR PE PE-A,4.795790545596741
SLX-21561.i727_i516,HI_Infected,EPCR PE PE-A,8.93353229607628
SLX-21561.i727_i517,HI_Infected,EPCR PE PE-A,8.821437352166997
SLX-21561.i727_i518,HI_Infected,EPCR PE PE-A,9.5307558140446
SLX-21561.i727_i520,HI_Control,EPCR PE PE-A,9.3982297330736
SLX-21561.i727_i521,HI_Control,EPCR PE PE-A,8.915566545710645
SLX-21561.i728_i505,HI_Infected,EPCR PE PE-A,9.517310233335248
SLX-21561.i728_i506,HI_Control,EPCR PE PE-A,8.652248422409102
SLX-21561.i728_i508,HI_Control,EPCR PE PE-A,9.90093429574841
SLX-21561.i728_i513,HI_Infected,EPCR PE PE-A,9.895908907012577
SLX-21561.i728_i515,HI_Infected,EPCR PE PE-A,8.596004371840527
SLX-21561.i728_i516,LO_Infected,EPCR PE PE-A,4.605170185988092
SLX-21561.i728_i517,LO_Infected,EPCR PE PE-A,8.53089883847235
SLX-21561.i728_i518,HI_Infected,EPCR PE PE-A,10.089635114163611
SLX-21561.i728_i520,HI_Control,EPCR PE PE-A,7.366445148327599
SLX-21561.i728_i521,HI_Control,EPCR PE PE-A,8.057694194815587
SLX-21561.i728_i522,HI_Control,EPCR PE PE-A,5.537334267018537
SLX-21561.i729_i503,LO_Infected,EPCR PE PE-A,5.883322388488279
SLX-21561.i729_i506,LO_Control,EPCR PE PE-A,9.332203959733024
SLX-21561.i729_i508,HI_Control,EPCR PE PE-A,8.84779106484485
SLX-21561.i729_i511,HI_Infected,EPCR PE PE-A,9.585071320714485
SLX-21561.i729_i513,HI_Infected,EPCR PE PE-A,5.834810737062605
SLX-21561.i729_i515,LO_Infected,EPCR PE PE-A,9.339349052539717
